run,total_steps
1,1538
2,2504
3,2172
4,884
5,2923
6,1172
7,1790
8,3147
9,1924
10,1237
11,1145
12,1709
13,1507
14,1637
15,855
16,3762
17,1311
18,1739
19,1254
20,1895
21,3509
22,950
23,2448
24,1749
25,1245
26,715
27,2397
28,1264
29,2609
30,933
31,1939
32,657
33,1539
34,1371
35,2479
36,1021
37,2048
38,1867
39,1943
40,1903
41,1254
42,1844
43,2063
44,1067
45,1121
46,1522
47,1141
48,607
49,2031
50,2146
51,2424
52,1549
53,928
54,1409
55,1393
56,2682
57,1284
58,1863
59,1543
60,1675
61,1481
62,1676
63,2222
64,1930
65,976
66,1426
67,3179
68,2015
69,1393
70,2243
71,2217
72,1816
73,1982
74,2173
75,1698
76,1153
77,2451
78,1751
79,632
80,2141
81,1398
82,2866
83,1535
84,868
85,1404
86,1313
87,2040
88,1835
89,1845
90,875
91,2037
92,1367
93,1266
94,1577
95,1047
96,3160
97,2012
98,1899
99,1109
100,1848
